sex,rank,count,prop
F,Assist,1460,0.3718797758532858
F,Assoc,1465,0.3731533367294957
F,Full,1001,0.25496688741721857
M,Assist,2588,0.16315723111839617
M,Assoc,5064,0.31925356197200855
M,Full,8210,0.5175892069095953
