rank,sex,mean_salary,log_mean_salary
Assist,F,3390.3368924657534,8.072121642164621
Assist,M,3387.458764683153,8.058545923034137
Assoc,F,4013.478556996587,8.25900250213264
Assoc,M,3965.8130329778833,8.224812772421181
Full,F,5596.8900499500505,8.588999603828736
Full,M,5865.128429232643,8.613006267386027
